pergunta;resposta
Qual é o nome da empresa?;O nome da empresa é XPTO Ltda.
Qual é o segmento da empresa?;A empresa atua no segmento de tecnologia e inovação.
Quando a empresa foi fundada?;A empresa foi fundada em 2010.
Como posso criar uma conta na empresa?;Acesse nosso site e clique em 'Criar Conta' para iniciar o processo.
Onde a empresa está localizada?;A empresa está localizada em São Paulo, Brasil.
Quais serviços a empresa oferece?;Oferecemos consultoria, desenvolvimento de software e suporte técnico.
Como posso entrar em contato com o suporte?;Você pode entrar em contato pelo e-mail suporte@empresaficticia.com ou pelo telefone (11) 4002-8922.
A empresa possui um aplicativo?;Sim, nosso aplicativo está disponível para Android e iOS.
Como faço para recuperar minha senha?;Clique em 'Esqueci minha senha' na página de login para redefini-la.
Quais são os horários de funcionamento?;Nosso horário de funcionamento é de segunda a sexta, das 8h às 18h.
A empresa oferece suporte por WhatsApp?;Sim, oferecemos suporte por WhatsApp no número (11) 90000-1234.
Quais são as formas de pagamento aceitas?;Aceitamos cartões de crédito, débito, PIX e boleto bancário.
Onde encontro as políticas de privacidade?;As políticas de privacidade estão disponíveis no rodapé do nosso site.
A empresa realiza entregas em todo o país?;Sim, realizamos entregas para todas as regiões do país.
Como acompanho o status do meu pedido?;Faça login na sua conta e clique em 'Acompanhar Pedido' para verificar o status.
A empresa oferece garantia para os produtos?;Sim, todos os produtos possuem garantia de 12 meses contra defeitos de fabricação.
Quais são as principais promoções disponíveis?;As promoções estão listadas na página inicial do site e na aba 'Ofertas'.
Como faço para cancelar um pedido?;Faça login na sua conta, vá até 'Pedidos' e selecione 'Cancelar'.
Quais são as condições para devoluções?;Devoluções podem ser feitas em até 30 dias após a entrega, com o produto em perfeito estado.
A empresa oferece descontos para estudantes?;Sim, oferecemos descontos para estudantes mediante comprovação.
